Country,Female_Life_Expectancy,Life_Expectancy_Both,Male_Life_Expectancy,Life_Expectancy_Gap,Predicted_Life_Expectancy
Chad,57.19,55.24,53.36,3.8299999999999983,55.23842626276529
South Sudan,60.75,57.74,54.76,5.990000000000002,57.732607816178884
Lesotho,60.44,57.8,55.03,5.409999999999997,57.70950552259636
Central African Republic,59.56,57.67,55.51,4.050000000000004,57.502063903537724
Somalia,61.55,58.97,56.49,5.059999999999995,58.99405058117991
Burkina Faso,63.43,61.29,59.11,4.32,61.24257863321658
Mali,62.15,60.68,59.25,2.8999999999999986,60.664414098624405
Benin,62.42,60.96,59.52,2.8999999999999986,60.93470909120414
Guinea,62.09,60.9,59.66,2.430000000000007,60.837109077050144
DR Congo,64.23,62.07,59.96,4.270000000000003,62.06821444406344
Côte d'Ivoire,64.31,62.11,60.17,4.140000000000001,62.21268242204502
Sierra Leone,63.7,61.96,60.23,3.470000000000006,61.93382352469523
Mozambique,66.74,63.8,60.49,6.249999999999993,63.60039113564295
Niger,62.41,61.43,60.49,1.9199999999999946,61.41002863722473
Zimbabwe,65.31,63.06,60.49,4.82,62.877015068036
Liberia,63.63,62.32,61.02,2.6099999999999994,62.289649295788195
Eswatini,67.11,64.26,61.32,5.789999999999999,64.19860356531429
Kenya,66.12,63.83,61.64,4.480000000000004,63.85628000533477
Burundi,65.88,63.82,61.75,4.1299999999999955,63.78935010101965
Cameroon,66.23,63.97,61.78,4.450000000000003,63.981257242752136
Guinea-Bissau,66.55,64.25,61.82,4.729999999999997,64.16294101453832
Haiti,68.49,65.12,61.9,6.589999999999996,65.18392316502609
Madagascar,65.6,63.84,62.12,3.479999999999997,63.830947046652696
Equatorial Guinea,65.89,63.91,62.22,3.6700000000000017,64.02716920725135
Angola,67.34,64.81,62.28,5.060000000000002,64.7903765331675
Togo,63.15,62.93,62.7,0.44999999999999574,62.87883284291375
South Africa,69.79,66.31,62.78,7.010000000000005,66.27734472609566
Ghana,68.16,65.7,63.31,4.849999999999994,65.7152718233446
Namibia,71.48,67.52,63.45,8.030000000000001,67.46405128245307
Sudan,69.83,66.52,63.45,6.3799999999999955,66.62938658906043
Djibouti,68.74,66.2,63.73,5.009999999999998,66.21666788308042
Papua New Guinea,69.21,66.26,63.84,5.36999999999999,66.50889672561911
Myanmar,70.38,67.1,63.99,6.3899999999999935,67.17503514811925
Zambia,68.87,66.53,64.1,4.77000000000001,66.46566635858679
Malawi,70.77,67.56,64.27,6.5,67.51098537924292
Congo,67.72,66.0,64.33,3.3900000000000006,65.99783445045192
Gambia,67.75,66.06,64.35,3.4000000000000057,66.02291487565347
Ethiopia,71.02,67.6,64.36,6.659999999999997,67.68202089249242
Tanzania,70.0,67.21,64.4,5.599999999999994,67.18585576176581
Kiribati,68.32,66.6,64.69,3.6299999999999955,66.47963354747594
Afghanistan,67.81,66.29,64.7,3.1099999999999994,66.22659863036088
Comoros,69.2,67.02,65.02,4.180000000000007,67.08821565842649
State of Palestine,74.25,69.21,65.22,9.030000000000001,69.7418425126329
Pakistan,70.32,67.8,65.46,4.859999999999999,67.87267941223068
Fiji,69.54,67.46,65.47,4.070000000000007,67.48306299983321
Uganda,71.37,68.49,65.49,5.88000000000001,68.41868672691763
Rwanda,70.14,68.02,65.71,4.430000000000007,67.9054338758362
Gabon,71.24,68.51,66.06,5.179999999999993,68.63520931607593
Bolivia,71.32,68.74,66.27,5.049999999999997,68.7796772940575
Timor-Leste,69.67,67.9,66.27,3.4000000000000057,67.9450126006649
Sao Tome & Principe,73.91,69.91,66.41,7.5,70.15918085851351
Guyana,74.09,70.32,66.62,7.469999999999999,70.35423457548859
Mauritania,70.73,68.71,66.7,4.030000000000001,68.69417255932126
Moldova,75.67,71.33,66.7,8.969999999999999,71.19310806559977
Eritrea,70.94,68.89,66.76,4.179999999999993,68.8301167217181
Botswana,71.85,69.29,66.78,5.069999999999993,69.30035165006237
Philippines,72.96,69.95,66.99,5.969999999999999,69.96585273967693
Turkmenistan,73.01,70.2,67.0,6.010000000000005,69.99609796092544
Senegal,71.01,68.92,67.01,4.0,68.98933553280735
Laos,71.53,69.23,67.02,4.510000000000005,69.25733372732526
Yemen,71.55,69.44,67.37,4.179999999999993,69.44078318643528
Russia,79.19,73.34,67.48,11.709999999999994,73.36000951480736
Mongolia,76.66,71.99,67.49,9.170000000000002,72.08514267002374
El Salvador,76.49,72.3,67.76,8.72999999999999,72.13286041103211
Cambodia,73.36,70.82,68.15,5.209999999999994,70.74266849885413
Kyrgyzstan,75.4,71.82,68.31,7.090000000000003,71.85385520234942
St. Vincent & Grenadines,74.48,71.38,68.78,5.700000000000003,71.62122693594162
Venezuela,76.66,72.67,68.89,7.769999999999996,72.77847191526902
Jamaica,74.15,71.61,69.08,5.070000000000007,71.60286454981565
Nepal,72.14,70.64,69.09,3.049999999999997,70.59104354779822
Indonesia,73.43,71.29,69.16,4.27000000000001,71.27826604307653
Solomon Islands,72.18,70.69,69.36,2.8200000000000074,70.7449913406929
Saint Lucia,76.45,72.85,69.45,7.0,72.9495735614808
Tonga,76.54,73.07,69.5,7.040000000000006,73.0198624853337
Uzbekistan,75.55,72.53,69.56,5.989999999999995,72.54877777980865
Vanuatu,74.11,71.65,69.59,4.519999999999996,71.83520019355761
Libya,72.68,71.12,69.63,3.0500000000000114,71.13163353295766
Egypt,74.01,71.81,69.65,4.359999999999999,71.81432856507463
Tajikistan,74.14,71.93,69.68,4.459999999999994,71.89494708102143
Belarus,79.22,74.62,69.74,9.480000000000004,74.49441673240133
Georgia,79.23,74.66,69.75,9.480000000000004,74.50442765805245
Ukraine,79.39,74.69,69.79,9.599999999999994,74.60517424744904
Western Sahara,73.77,71.58,69.87,3.8999999999999915,71.80187453002878
Samoa,73.82,71.83,69.96,3.8599999999999994,71.8717385652913
Vietnam,79.38,74.74,70.05,9.329999999999998,74.72887681909525
Seychelles,76.66,72.99,70.08,6.579999999999998,73.3678017737275
Syria,74.92,72.56,70.21,4.710000000000008,72.55199048801352
Kazakhstan,78.52,74.53,70.27,8.25,74.40279120228975
Guatemala,75.04,72.75,70.44,4.6000000000000085,72.726597465096
Honduras,75.67,73.04,70.49,5.180000000000007,73.07004937951376
Iraq,74.18,72.42,70.5,3.680000000000007,72.32127422026248
Trinidad and Tobago,76.83,73.62,70.51,6.319999999999993,73.66674865534178
Suriname,76.98,73.76,70.6,6.38000000000001,73.7871984295978
Dominican Republic,77.11,73.87,70.66,6.450000000000003,73.88267400079984
India,73.86,72.24,70.73,3.1299999999999955,72.27330394577359
U.S. Virgin Islands,81.48,75.7,70.73,10.75,76.12793725707772
Paraguay,77.09,73.98,71.01,6.079999999999998,74.04588916431246
Bahamas,78.33,74.71,71.06,7.269999999999996,74.69791408659052
Belize,76.66,73.74,71.08,5.579999999999998,73.8630369489027
Lithuania,80.8,76.17,71.42,9.379999999999995,76.12566650279285
North Korea,75.88,73.74,71.55,4.329999999999998,73.7012287170858
Bhutan,75.27,73.26,71.57,3.700000000000003,73.402560412729
Armenia,79.6,75.85,71.58,8.019999999999996,75.59787526289898
Azerbaijan,77.29,74.58,71.71,5.5800000000000125,74.49372526492209
Latvia,80.6,76.33,71.75,8.849999999999994,76.18792263261369
Mauritius,78.34,75.1,72.11,6.230000000000004,75.22296959442383
Bulgaria,79.36,75.8,72.33,7.030000000000001,75.847895870696
Thailand,80.98,76.56,72.34,8.64,76.67233719414233
Mexico,78.0,75.26,72.44,5.560000000000002,75.21440568965377
Nicaragua,77.58,75.1,72.46,5.1200000000000045,75.0118502893846
Grenada,78.5,75.37,72.52,5.980000000000004,75.50695319863524
Romania,79.68,76.09,72.56,7.1200000000000045,76.12367432576548
Curaçao,80.96,76.99,72.66,8.299999999999997,76.82069530239968
Brazil,79.15,76.02,72.95,6.200000000000003,76.04871162741827
Cabo Verde,79.37,76.22,73.05,6.320000000000007,76.20952377072149
Bangladesh,76.67,74.93,73.3,3.3700000000000045,74.967517611691
Morocco,77.78,75.49,73.35,4.430000000000007,75.5537810732775
Brunei,77.73,75.5,73.49,4.240000000000009,75.5978211283053
Guam,81.59,77.42,73.66,7.930000000000007,77.63462063323388
Serbia,80.18,76.94,73.68,6.5,76.93126641692915
Barbados,78.76,76.33,73.75,5.010000000000005,76.24761538548381
Aruba,78.92,76.5,73.85,5.070000000000007,76.37807608539092
Hungary,80.33,77.18,73.89,6.439999999999998,77.11114441220617
Montenegro,80.45,77.25,73.92,6.530000000000001,77.18670435425362
Tunisia,79.33,76.71,74.13,5.200000000000003,76.7241434643133
Mayotte,78.51,76.24,74.27,4.240000000000009,76.37867332909119
French Guiana,80.15,77.18,74.33,5.820000000000007,77.23799355909497
Uruguay,82.04,78.29,74.38,7.660000000000011,78.21882578483074
Malaysia,79.52,76.82,74.45,5.069999999999993,76.978731624457
Sri Lanka,80.75,77.67,74.45,6.299999999999997,77.60093621407695
Turkey,80.34,77.42,74.62,5.719999999999999,77.47772466398342
Bosnia and Herzegovina,81.07,78.04,74.65,6.4199999999999875,77.86185761389117
Antigua and Barbuda,80.45,77.77,74.74,5.710000000000008,77.59279719789728
Ecuador,80.31,77.58,74.88,5.430000000000007,77.59131008783092
Argentina,80.02,77.54,74.98,5.039999999999992,77.49413496226731
Algeria,77.91,76.48,75.1,2.8100000000000023,76.48620409052563
Poland,82.49,78.81,75.1,7.390000000000001,78.80303093642758
Estonia,83.17,79.31,75.12,8.049999999999997,79.15691866508686
Colombia,80.61,77.91,75.16,5.450000000000003,77.88173315386045
Slovakia,81.71,78.49,75.21,6.5,78.46293804154762
China,80.97,78.02,75.25,5.719999999999999,78.10841298000278
North Macedonia,79.71,77.54,75.26,4.449999999999989,77.47598502043653
Croatia,81.82,78.75,75.6,6.219999999999999,78.71172407275878
Peru,80.3,77.94,75.63,4.670000000000002,77.95767789531295
Cuba,80.68,78.26,75.86,4.820000000000007,78.26380779377854
Lebanon,79.86,77.95,75.88,3.980000000000004,77.85890943753539
Jordan,80.34,77.98,75.89,4.450000000000003,78.10667333645591
Iran,79.81,77.85,76.0,3.8100000000000023,77.89304478905967
New Caledonia,81.41,78.92,76.46,4.950000000000003,78.93022479353614
Panama,82.71,79.78,76.88,5.829999999999998,79.7958381740251
United States,81.98,79.46,77.05,4.930000000000007,79.51075225915241
Czech Republic (Czechia),82.75,79.97,77.18,5.569999999999993,79.96464302217508
Saudi Arabia,81.33,78.98,77.33,4.0,79.32061080474377
Taiwan,83.75,80.75,77.86,5.890000000000001,80.80726033122914
Albania,81.59,79.78,77.92,3.6700000000000017,79.74432247948022
Puerto Rico,85.38,81.9,78.28,7.099999999999994,81.83980665039664
Guadeloupe,85.65,82.24,78.35,7.300000000000011,82.01105460794133
Costa Rica,83.58,81.0,78.37,5.209999999999994,80.97383451427956
Oman,82.05,80.25,78.72,3.3299999999999983,80.37320501899043
Slovenia,84.47,81.78,79.11,5.359999999999999,81.79052162095127
Germany,83.88,81.54,79.21,4.670000000000002,81.54158927840719
Finland,84.79,82.08,79.38,5.410000000000011,82.08610948302774
Chile,83.23,81.36,79.45,3.780000000000001,81.33163841699154
Kuwait,82.0,80.6,79.45,2.549999999999997,80.70943382737158
Martinique,85.73,82.74,79.45,6.280000000000001,82.59628189182885
Greece,84.46,82.03,79.5,4.959999999999994,81.97860476537025
United Kingdom,83.33,81.45,79.54,3.789999999999992,81.4267953217508
Portugal,85.25,82.55,79.68,5.569999999999993,82.46737443495039
Austria,84.45,82.12,79.75,4.700000000000003,82.0973549852647
Cyprus,83.8,81.82,79.84,3.9599999999999937,81.81311884757277
Maldives,83.0,81.29,79.95,3.049999999999997,81.46290880489411
Belgium,84.45,82.27,80.06,4.390000000000001,82.25087788956901
Denmark,83.98,82.09,80.21,3.7700000000000102,82.08741019257587
Canada,84.91,82.72,80.53,4.3799999999999955,82.71633282127141
Ireland,84.61,82.58,80.58,4.030000000000001,82.58933736304971
France,86.2,83.46,80.59,5.609999999999999,83.39860296479799
New Zealand,83.89,82.25,80.6,3.2900000000000063,82.23502474580005
Israel,84.71,82.73,80.67,4.039999999999992,82.68449426780896
Réunion,86.45,83.67,80.67,5.780000000000001,83.56468612629573
Netherlands,83.85,82.3,80.72,3.1299999999999955,82.27421867122368
Luxembourg,83.94,82.36,80.75,3.1899999999999977,82.33460289157308
Bahrain,82.13,81.42,80.86,1.269999999999996,81.47347688506014
Macao,85.35,83.23,81.05,4.299999999999997,83.19643236393388
Spain,86.44,83.8,81.1,5.340000000000003,83.77257867772171
South Korea,87.28,84.43,81.32,5.960000000000008,84.30645062380559
Singapore,86.36,83.86,81.38,4.980000000000004,83.87077593557598
Malta,85.39,83.47,81.48,3.9099999999999966,83.42961778485662
Iceland,84.47,83.01,81.63,2.8400000000000034,83.03851426239277
Sweden,85.22,83.42,81.65,3.569999999999993,83.42781200834747
Italy,85.87,83.87,81.75,4.1200000000000045,83.80614282932268
Qatar,83.48,82.52,81.78,1.7000000000000028,82.61200072263347
Japan,87.88,84.85,81.83,6.049999999999997,84.8625349971059
French Polynesia,86.62,84.19,81.9,4.719999999999999,84.25982114805015
Norway,84.97,83.46,81.94,3.030000000000001,83.44496586166454
Switzerland,85.95,84.09,82.17,3.780000000000001,84.05461019409105
United Arab Emirates,84.32,83.07,82.17,2.1499999999999915,83.23006264849712
Australia,85.85,84.07,82.28,3.569999999999993,84.05850032436683
Hong Kong,88.26,85.63,82.97,5.290000000000006,85.61932890498089
